Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Phoenix Suns,26.7,54,28,58,24,7.1,-0.01,7.09,113.1,106.2,100.7,0.38,0.076,0.565,0.509,13.3,31.1,0.302,0.478,12.8,68.8,0.209,Arizona Veterans Memorial Coliseum,578661
2,Los Angeles Lakers,28.9,63,19,58,24,6.78,-0.04,6.74,114,107,96.3,0.345,0.12,0.562,0.512,13.2,32.8,0.271,0.479,12.8,68.5,0.219,Great Western Forum,712498
3,Portland Trail Blazers,26.7,59,23,57,25,6.32,0.16,6.48,110.5,104.4,102.3,0.362,0.075,0.535,0.486,13.4,36.5,0.269,0.479,15.2,70.8,0.265,Memorial Coliseum,528132
4,Detroit Pistons,29.5,59,23,57,25,6.09,-0.68,5.41,109.9,103.5,94.4,0.323,0.078,0.537,0.49,13.4,34.2,0.245,0.461,13.7,70.3,0.262,The Palace of Auburn Hills,879705
5,Utah Jazz,27.6,55,27,54,28,4.79,0.03,4.82,110.3,105.4,96.1,0.377,0.096,0.57,0.522,15.5,30.1,0.284,0.468,13.4,69.5,0.268,Salt Palace,517256
6,Philadelphia 76ers,27.4,53,29,54,28,4.99,-0.75,4.23,113.5,108.4,96.5,0.357,0.077,0.556,0.502,12.9,32,0.281,0.495,13.3,68.4,0.223,The Spectrum,565926
7,San Antonio Spurs,26.4,56,26,50,32,3.49,0.09,3.58,107.7,104.2,98.5,0.362,0.032,0.537,0.488,14.7,34.2,0.27,0.477,15,68.7,0.235,HemisFair Arena,586787
8,Boston Celtics,30.2,52,30,51,31,3.99,-0.76,3.23,112,107.9,98.2,0.301,0.057,0.557,0.506,13.4,31.5,0.251,0.477,10.8,72.1,0.223,Boston Garden,611537
9,Chicago Bulls,26.1,55,27,50,32,3.26,-0.51,2.74,112.3,109,96.7,0.302,0.094,0.559,0.516,13.4,31.9,0.235,0.508,15.2,68.1,0.262,Chicago Stadium,752564
10,Houston Rockets,27.9,41,41,45,37,1.46,0.24,1.71,104.8,103.4,101.2,0.313,0.068,0.531,0.491,15.5,33.1,0.225,0.475,14.7,69.2,0.228,The Summit,649702
11,Denver Nuggets,29.5,43,39,45,37,1.41,0.15,1.56,108,106.7,105.4,0.275,0.084,0.523,0.478,11.2,29.1,0.217,0.501,15.2,71.3,0.264,McNichols Sports Arena,484288
12,Seattle SuperSonics,25.6,41,41,44,38,1.04,0.36,1.4,110.9,109.8,95.3,0.299,0.09,0.535,0.494,14,37.5,0.222,0.499,14.3,69.1,0.297,Seattle Center Coliseum,473277
13,New York Knicks,26.5,45,37,45,37,1.41,-0.63,0.78,109.4,108,98.2,0.331,0.1,0.547,0.501,14.8,34.2,0.25,0.482,13.3,66,0.215,Madison Square Garden (IV),730432
14,Atlanta Hawks,28.6,41,41,44,38,1.02,-0.39,0.64,113,111.9,95.8,0.362,0.059,0.547,0.496,13.5,36.3,0.277,0.509,14,65.5,0.254,Omni Coliseum,573711
15,Dallas Mavericks,29.2,47,35,41,41,0.07,0.35,0.42,107.2,107.2,94.5,0.331,0.071,0.536,0.487,13.6,30.3,0.254,0.481,13.4,67.9,0.232,Reunion Arena,691490
16,Indiana Pacers,26.4,42,40,41,41,0.16,-0.34,-0.18,111.5,111.4,97,0.343,0.113,0.572,0.518,14.6,29,0.28,0.494,12.6,67.1,0.25,Market Square Arena,518923
17,Cleveland Cavaliers,26.1,42,40,40,42,-0.3,-0.31,-0.62,106.9,107.2,95,0.315,0.122,0.529,0.485,13.5,31.5,0.235,0.49,14,67.7,0.202,Coliseum at Richfield,695710
18,Milwaukee Bucks,28.1,44,38,39,43,-0.78,-0.28,-1.06,107.3,108.1,98,0.318,0.094,0.533,0.488,13.9,31.5,0.241,0.492,15.8,66,0.29,Bradley Center,659602
19,Washington Bullets,27.5,31,51,35,47,-2.16,-0.27,-2.43,107.5,109.7,99.4,0.276,0.026,0.519,0.477,12.4,32.4,0.211,0.484,12.4,67.2,0.249,Capital Centre,458332
20,Golden State Warriors,26,37,45,33,49,-3.13,0.59,-2.55,109.6,112.6,105.9,0.397,0.104,0.563,0.501,14.3,26.1,0.321,0.494,13.6,61.5,0.253,Oakland-Alameda County Coliseum Arena,616025
21,Los Angeles Clippers,24.5,30,52,32,50,-3.39,0.59,-2.8,104,107.4,99.2,0.359,0.034,0.536,0.488,16.3,30.9,0.265,0.489,14.3,67.3,0.241,Los Angeles Memorial Sports Arena,486621
22,Minnesota Timberwolves,26.2,22,60,29,53,-4.23,0.63,-3.6,103.6,108.2,91.1,0.311,0.043,0.499,0.451,13.3,34,0.232,0.492,15.5,66.2,0.291,Hubert H. Humphrey Metrodome,1072572
23,Sacramento Kings,26.4,23,59,28,54,-5.06,0.65,-4.41,104.8,110,96.7,0.278,0.092,0.527,0.484,13.5,27.3,0.215,0.484,12.5,67.3,0.255,ARCO Arena (II),697667
24,Charlotte Hornets,25.6,19,63,21,61,-7.82,0.81,-7,102,109.9,98.1,0.274,0.085,0.511,0.47,13.2,26.1,0.207,0.506,14.7,67.5,0.269,Charlotte Coliseum,979941
25,New Jersey Nets,26.6,17,65,21,61,-7.87,0.05,-7.82,100.7,108.6,99.3,0.317,0.068,0.486,0.435,13.9,34.5,0.237,0.495,14.9,67,0.272,Brendan Byrne Arena,473760
26,Orlando Magic,26.5,18,64,21,61,-8.91,0.19,-8.73,105.8,114.3,104.1,0.362,0.052,0.521,0.467,13.9,33.7,0.274,0.511,12.1,67.8,0.245,Orlando Arena,617468
27,Miami Heat,24.7,18,64,18,64,-9.72,0.13,-9.59,99.3,108.9,101,0.276,0.041,0.501,0.467,15.9,33.5,0.19,0.499,15.2,67.3,0.292,Miami Arena,615328
,League Average,27.1,,,41,41,0,0,0,108.1,108.1,98.3,0.327,0.076,0.537,0.489,13.9,32.1,0.25,0.489,13.9,67.9,0.25,,638071
