Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference Finalist,Standings_Bucket ,E/W
1,Detroit Pistons,82,241.5,37.2,82.2,0.453,1.9,6.1,0.312,35.3,76.1,0.464,20.4,26.5,0.77,12.2,27.7,40,21.2,7.1,3.5,13.7,24.2,96.8,1,0,0
2,Los Angeles Lakers,82,241.8,40.9,88.6,0.462,2.2,7,0.311,38.7,81.6,0.475,15.6,20.7,0.752,13.8,26.7,40.5,24.4,8.1,4.1,14.3,22.2,99.6,1,0,1
3,Utah Jazz,82,241.2,39.2,85.5,0.459,2.5,8.1,0.307,36.7,77.4,0.475,19.7,25.5,0.773,13.4,27.8,41.2,22.7,8.4,5,15.3,24.3,100.7,0,1,1
4,Chicago Bulls,82,240.9,39.8,84,0.475,2.3,7.6,0.304,37.5,76.3,0.492,19,24.6,0.77,13,26.4,39.3,24.6,7.7,4.2,17.1,22.3,101,1,0,0
5,San Antonio Spurs,82,241.8,39.8,88.9,0.448,2.7,8.6,0.31,37.2,80.3,0.463,20.3,26.7,0.761,13.7,27.7,41.4,23.5,9.8,5.3,15.4,24.5,102.6,0,0,1
6,Houston Rockets,82,242.1,40.7,89.2,0.456,2.2,7.6,0.295,38.5,81.6,0.471,19.6,25.4,0.771,15.1,29.6,44.8,24,8.7,4.4,17.3,21.8,103.2,0,1,1
7,New York Knicks,82,243.4,41.6,87.3,0.476,2.2,6.6,0.336,39.4,80.7,0.488,17.9,23.2,0.773,13.6,28.5,42.1,24.4,8.8,4.5,15.1,22.1,103.3,0,1,0
8,Sacramento Kings,82,240.3,38.3,81.5,0.47,1.9,6,0.316,36.4,75.6,0.482,24.9,32.8,0.761,14.2,31,45.2,23.3,8.5,5.5,16,22.5,103.5,0,2,1
9,Minnesota Timberwolves,82,242.7,40.5,82.7,0.49,2.1,6.2,0.339,38.4,76.5,0.502,20.5,27.1,0.757,13.3,29,42.4,26.1,6.2,6.2,15.1,20.6,103.5,0,2,1
10,Milwaukee Bucks,82,242.1,40.1,82.6,0.486,2.3,7,0.329,37.8,75.6,0.5,21.4,28.2,0.759,13.5,28.2,41.7,24.7,8.6,5.6,18.7,23.3,104,0,0,0
11,Cleveland Cavaliers,82,241.8,42.2,86.8,0.486,2,6.2,0.323,40.2,80.6,0.498,17.9,23.4,0.764,13.4,29.2,42.6,26.2,8.7,4.8,15,23.1,104.2,0,2,0
12,Dallas Mavericks,82,241.5,40.8,84.7,0.482,2.2,7.1,0.305,38.6,77.6,0.498,20.7,28,0.74,13.6,30.4,44,24.7,7.9,4.9,14,21.7,104.5,0,2,1
13,Seattle SuperSonics,82,242.4,40.1,82.2,0.488,2.5,7.7,0.327,37.5,74.5,0.504,22.8,30,0.759,13.5,26.2,39.7,22.6,8.9,5.4,18.1,22.2,105.4,0,1,1
14,Philadelphia 76ers,82,244.9,43.1,90.6,0.476,2.4,8,0.297,40.7,82.6,0.493,16.9,21.9,0.774,14.1,30.7,44.8,27.1,8.4,4.8,14.4,22.7,105.6,0,1,0
15,Boston Celtics,82,241.5,41.7,92.2,0.452,2.3,7.5,0.313,39.4,84.7,0.465,20,25.4,0.786,14.5,26.9,41.4,25,9,4.6,13.7,20.2,105.7,0,0,0
16,Portland Trail Blazers,82,242.7,40.5,88.7,0.456,2.9,8.9,0.323,37.6,79.8,0.471,22.2,28.5,0.777,13.2,28.7,41.9,25,7.7,4.3,17,25.3,106,1,0,1
17,Washington Bullets,82,242.1,41.4,88.8,0.466,2,6.8,0.299,39.4,82,0.48,21.5,27.9,0.771,15,30.2,45.2,22.7,8.9,6,15.3,21.7,106.4,0,2,0
18,Los Angeles Clippers,82,241.5,40.7,87.2,0.467,2.4,7.2,0.336,38.3,80,0.478,23.2,30.8,0.752,13.6,30.4,44,24.2,9.4,6,16,23,107,0,2,1
19,New Jersey Nets,82,241.8,41.1,87.9,0.468,1.7,5.4,0.308,39.5,82.5,0.479,23.5,30.4,0.773,15.7,30.8,46.5,21.2,10.1,6.6,17.7,23.1,107.5,0,2,0
20,Phoenix Suns,82,240.6,42.2,91.5,0.462,2.2,7.1,0.312,40,84.3,0.474,20.8,27.4,0.76,14.6,28,42.6,24,8.3,5.6,15.6,25.1,107.5,0,0,1
21,Miami Heat,82,241.2,40.7,85,0.478,2.1,6.3,0.337,38.6,78.8,0.489,24.4,31.7,0.767,14.3,28.8,43.2,24.5,10.4,6.1,17.9,23.9,107.8,0,2,0
22,Charlotte Hornets,82,241.5,41.6,84.3,0.493,1.9,6.1,0.316,39.6,78.2,0.507,23,29.8,0.772,14,30.7,44.7,26.1,8.2,5.9,17.1,22.5,108,0,2,0
23,Atlanta Hawks,82,240.9,43.5,88,0.494,2.6,7.6,0.349,40.9,80.5,0.508,19.4,25.2,0.767,13.2,30.5,43.6,28.3,8.4,4.4,15.7,24.8,109,0,1,0
24,Orlando Magic,82,241.2,42.1,88.2,0.478,2.7,8.2,0.331,39.4,80,0.493,22.9,29.9,0.767,13.4,30.5,43.8,25.8,8.6,8,14.8,24.2,109.9,0,2,0
25,Indiana Pacers,82,241.5,43.6,89,0.49,2.3,7.4,0.305,41.4,81.6,0.507,22.6,30.4,0.743,14.7,28.2,42.9,25.2,8.9,4.3,15.4,24.8,112.1,0,1,0
26,Golden State Warriors,82,241.5,43.2,89.6,0.482,2.7,8.4,0.322,40.5,81.3,0.499,25.9,34.1,0.758,15.8,30.2,46,26.4,8.9,5.3,18.7,26.9,115,0,1,1
27,Denver Nuggets,82,240.6,49.7,97.1,0.512,2.4,6.1,0.386,47.3,91,0.52,29,37.4,0.775,15.1,37.4,52.5,30.4,9.2,6.4,18.6,22.5,130.8,0,2,1
,League Average,82,241.8,41.4,87.2,0.474,2.3,7.1,0.32,39.1,80.1,0.488,21.3,27.9,0.765,14,29.3,43.3,24.7,8.6,5.3,16,23.2,106.3,,,
