Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Orlando Magic*,82,243.0,42.2,84.1,.502,6.4,17.2,.370,35.8,66.9,.535,20.1,30.1,.669,14.0,30.0,44.0,27.8,8.2,6.0,15.8,21.0,110.9
2,Phoenix Suns*,82,241.8,40.9,85.0,.482,7.1,19.3,.369,33.8,65.6,.515,21.7,28.7,.756,12.5,29.3,41.8,26.8,8.4,3.8,14.2,22.4,110.6
3,Seattle SuperSonics*,82,241.8,40.4,82.2,.491,6.0,15.9,.376,34.4,66.3,.519,23.7,31.3,.758,13.0,28.5,41.5,25.8,11.2,4.8,15.8,25.2,110.4
4,San Antonio Spurs*,82,242.1,39.5,81.5,.484,5.3,14.1,.375,34.2,67.4,.507,22.4,30.3,.738,12.5,32.5,45.0,23.4,8.0,5.6,15.2,22.8,106.6
5,Utah Jazz*,82,241.2,39.5,77.3,.512,3.7,9.8,.376,35.9,67.5,.531,23.6,30.3,.781,10.7,29.4,40.1,27.5,9.2,4.8,15.7,24.9,106.4
6,Golden State Warriors,82,242.7,39.2,83.8,.468,6.7,19.5,.341,32.6,64.3,.507,20.6,29.2,.704,13.4,28.9,42.3,24.6,7.9,4.8,18.3,22.0,105.7
7,Los Angeles Lakers*,82,242.7,40.0,86.4,.463,6.4,18.2,.352,33.6,68.2,.493,18.6,25.3,.735,13.7,28.2,42.0,25.3,9.1,6.9,15.2,23.6,105.1
8,Houston Rockets*,82,240.6,38.5,80.2,.480,7.9,21.4,.368,30.6,58.8,.521,18.6,24.9,.749,10.7,29.8,40.5,25.1,8.8,6.3,16.1,20.9,103.5
9,Dallas Mavericks,82,243.0,39.4,89.5,.440,4.7,14.6,.322,34.6,74.9,.463,19.8,27.0,.734,18.5,29.7,48.1,23.7,7.1,4.2,16.4,22.1,103.2
10,Portland Trail Blazers*,82,240.3,39.2,87.0,.451,5.6,15.4,.365,33.6,71.6,.469,19.0,27.2,.697,16.5,29.8,46.3,22.5,8.1,5.7,14.8,24.7,103.1
