Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
2017,10,Golden State Warriors,1,1,82,67,15,4.466666667,241.2,43.1,87.1,0.495,12,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35,44.4,30.4,9.6,6.8,14.8,19.3,115.9,28.2,67,15,11.63,-0.28,11.35,115.6,104,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.563,13.2,74.9,0.204,Oracle Arena,803436,0
2017,11,Houston Rockets,1,0,82,55,27,2.037037037,241.2,40.3,87.2,0.462,14.4,40.3,0.357,25.9,46.9,0.552,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,27.4,55,27,5.77,0.08,5.84,114.7,109,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.545,13.3,75.8,0.233,Toyota Center,695903,0
2017,8,Denver Nuggets,1,0,82,40,42,0.952380952,240.9,41.2,87.7,0.469,10.6,28.8,0.368,30.6,58.9,0.519,18.7,24.2,0.774,11.8,34.6,46.4,25.3,6.9,3.9,15,19.1,111.7,25.2,42,40,0.51,0.19,0.7,113.2,112.7,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.53,13.2,78.7,0.214,Pepsi Center,605585,2
2017,6,Cleveland Cavaliers,0,1,82,51,31,1.64516129,242.4,39.9,84.9,0.47,13,33.9,0.384,26.9,51,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4,13.7,18.1,110.3,29.2,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.547,12.6,75.8,0.206,Quicken Loans Arena,843042,0
2017,30,Washington Wizards,0,0,82,49,33,1.484848485,242.1,41.3,87,0.475,9.2,24.8,0.372,32.1,62.3,0.515,17.3,22.1,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,26,46,36,1.8,-0.45,1.36,111.2,109.3,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.528,12.8,75.5,0.199,Verizon Center,697107,0
2017,13,Los Angeles Clippers,1,0,82,51,31,1.64516129,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,55.8,0.525,19.3,26,0.745,9,34,43,22.5,7.5,4.2,13,19.8,108.7,30,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.537,12,76.9,0.233,STAPLES Center,782609,0
2017,2,Boston Celtics,0,1,82,53,29,1.827586207,240.9,38.6,85.1,0.454,12,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108,25.9,48,34,2.63,-0.39,2.25,111.2,108.4,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.525,12.2,75.3,0.22,TD Garden,760690,0
2017,25,Portland Trail Blazers,1,0,82,41,41,1,243,39.5,86.1,0.459,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7,5,13.7,21.2,107.9,24.8,40,42,-0.52,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.52,12.5,76.8,0.214,Moda Center,792029,1
2017,24,Phoenix Suns,1,0,82,24,58,0.413793103,241.8,39.9,88.5,0.45,7.5,22.6,0.332,32.4,65.9,0.491,20.4,26.3,0.776,11.9,33.1,45,19.6,8.2,4.9,15.4,24.8,107.7,25,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.493,13.4,76.4,0.231,Talking Stick Resort Arena,708639,2
2017,28,Toronto Raptors,0,0,82,51,31,1.64516129,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,26.1,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.517,11.8,76.3,0.233,Air Canada Centre,813050,0
2017,21,Oklahoma City Thunder,1,0,82,47,35,1.342857143,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21,7.9,5,15,20.9,106.6,24.7,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.5,13.2,79,0.22,Chesapeake Energy Arena,746323,1
2017,3,Brooklyn Nets,0,0,82,20,62,0.322580645,240.9,37.8,85.2,0.444,10.7,31.6,0.338,27.1,53.6,0.506,19.4,24.6,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21,105.8,26,24,58,-6.73,-0.01,-6.74,104.1,110.7,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.507,14.7,76.1,0.228,Barclays Center,632608,2
2017,18,Minnesota Timberwolves,1,0,82,31,51,0.607843137,241.5,39.5,84.4,0.467,7.3,21,0.349,32.1,63.4,0.507,19.3,24.2,0.799,11.4,31,42.4,23.7,8,4.5,14,20.1,105.6,24,38,44,-1.11,0.47,-0.64,110.8,112,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.511,12.9,75.9,0.229,Target Center,607203,2
2017,27,San Antonio Spurs,1,1,82,61,21,2.904761905,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22,0.797,10,33.9,43.9,23.8,8,5.9,13.4,18.3,105.3,29.6,60,22,7.2,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.524,12.6,77.6,0.21,AT&T Center,755347,0
