Season,TeamID,E/W,Conference Finalist,W/L,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,MOV,Pace,eFG%,Attendance,Standings_Bucket
2017,10,1.0,1.0,4.466666666666667,43.1,87.1,12.0,31.2,17.8,22.6,9.4,35.0,30.4,9.6,6.8,14.8,19.3,115.9,28.2,11.63,99.8,0.563,803436,0.0
2017,11,1.0,0.0,2.0370370370370368,40.3,87.2,14.4,40.3,20.3,26.5,10.9,33.5,25.2,8.2,4.3,15.1,19.9,115.3,27.4,5.77,100.0,0.545,695903,0.0
2017,8,1.0,0.0,0.9523809523809524,41.2,87.7,10.6,28.8,18.7,24.2,11.8,34.6,25.3,6.9,3.9,15.0,19.1,111.7,25.2,0.51,98.3,0.53,605585,2.0
2017,6,0.0,1.0,1.6451612903225807,39.9,84.9,13.0,33.9,17.5,23.3,9.3,34.4,22.7,6.6,4.0,13.7,18.1,110.3,29.2,3.18,96.2,0.547,843042,0.0
2017,30,0.0,0.0,1.4848484848484849,41.3,87.0,9.2,24.8,17.3,22.1,10.3,32.6,23.9,8.5,4.1,14.2,21.3,109.2,26.0,1.8,97.4,0.528,697107,0.0
2017,13,1.0,0.0,1.6451612903225807,39.5,83.2,10.3,27.4,19.3,26.0,9.0,34.0,22.5,7.5,4.2,13.0,19.8,108.7,30.0,4.29,96.1,0.537,782609,0.0
2017,2,0.0,1.0,1.827586206896552,38.6,85.1,12.0,33.4,18.7,23.2,9.1,32.9,25.2,7.5,4.1,13.3,20.6,108.0,25.9,2.63,96.8,0.525,760690,0.0
2017,25,1.0,0.0,1.0,39.5,86.1,10.4,27.7,18.5,23.7,10.1,33.5,21.1,7.0,5.0,13.7,21.2,107.9,24.8,-0.52,96.7,0.52,792029,1.0
2017,24,1.0,0.0,0.4137931034482759,39.9,88.5,7.5,22.6,20.4,26.3,11.9,33.1,19.6,8.2,4.9,15.4,24.8,107.7,25.0,-5.63,100.3,0.493,708639,2.0
2017,28,0.0,0.0,1.6451612903225807,39.2,84.4,8.8,24.3,19.7,24.7,10.6,32.6,18.5,8.3,4.9,12.7,20.8,106.9,26.1,4.21,94.7,0.517,813050,0.0
2017,21,1.0,0.0,1.3428571428571427,39.5,87.4,8.4,25.8,19.2,25.8,12.2,34.4,21.0,7.9,5.0,15.0,20.9,106.6,24.7,0.76,97.8,0.5,746323,1.0
2017,3,0.0,0.0,0.3225806451612903,37.8,85.2,10.7,31.6,19.4,24.6,8.8,35.1,21.4,7.2,4.7,16.5,21.0,105.8,26.0,-6.73,101.3,0.507,632608,2.0
2017,18,1.0,0.0,0.6078431372549019,39.5,84.4,7.3,21.0,19.3,24.2,11.4,31.0,23.7,8.0,4.5,14.0,20.1,105.6,24.0,-1.11,94.6,0.511,607203,2.0
2017,27,1.0,1.0,2.9047619047619047,39.3,83.7,9.2,23.5,17.6,22.0,10.0,33.9,23.8,8.0,5.9,13.4,18.3,105.3,29.6,7.2,94.2,0.524,755347,0.0
2017,12,0.0,0.0,1.05,39.3,84.5,8.6,23.0,17.9,22.1,9.0,33.0,22.5,8.2,5.0,13.8,19.5,105.1,27.0,-0.22,95.9,0.516,684578,1.0
2017,4,0.0,0.0,0.7826086956521741,37.7,85.4,10.0,28.6,19.4,23.8,8.8,34.8,23.1,7.0,4.8,11.5,16.6,104.9,26.5,0.2,95.7,0.501,710643,2.0
2017,14,1.0,0.0,0.4642857142857143,39.3,87.4,8.9,25.7,17.0,22.6,11.4,32.1,20.9,8.2,3.9,15.2,20.7,104.6,25.1,-6.88,98.5,0.501,776917,2.0
2017,19,1.0,0.0,0.7083333333333334,39.1,87.0,9.4,26.8,16.7,22.3,8.6,35.1,22.8,7.8,5.5,12.9,18.2,104.3,25.7,-2.1,98.0,0.504,663099,2.0
2017,20,0.0,0.0,0.6078431372549019,39.6,88.5,8.6,24.7,16.6,21.1,12.0,33.2,21.8,7.1,5.5,13.9,20.3,104.3,27.3,-3.67,96.0,0.496,810741,2.0
2017,17,0.0,0.0,1.05,38.8,81.9,8.8,23.7,17.2,22.4,8.8,31.6,24.2,8.1,5.3,14.0,20.2,103.6,25.6,-0.18,94.5,0.527,648952,1.0
2017,16,0.0,0.0,1.0,39.0,85.8,9.9,27.0,15.2,21.6,10.6,33.0,21.2,7.2,5.7,13.4,20.5,103.2,26.5,1.06,95.2,0.512,805400,2.0
2017,1,0.0,0.0,1.1025641025641026,38.1,84.4,8.9,26.1,18.1,24.9,10.3,34.1,23.6,8.2,4.8,15.8,18.2,103.2,27.9,-0.85,97.4,0.504,654306,1.0
2017,5,0.0,0.0,1.0,38.6,87.1,7.6,22.3,18.0,22.5,12.2,34.1,22.6,7.8,4.8,13.6,17.7,102.9,26.9,0.43,95.3,0.487,888882,1.0
2017,26,1.0,0.0,0.64,37.9,82.1,9.0,23.9,18.1,23.3,8.7,32.3,22.5,7.6,4.0,14.6,20.3,102.8,27.8,-3.88,94.9,0.516,721928,2.0
2017,23,0.0,0.0,0.5185185185185185,37.7,85.3,10.1,29.8,17.0,22.0,9.8,33.0,23.8,8.4,5.1,16.7,21.9,102.4,24.6,-5.7,98.5,0.501,710557,2.0
2017,9,0.0,0.0,0.8222222222222222,39.9,88.8,7.7,23.4,13.9,19.3,11.1,34.6,21.1,7.0,3.8,11.9,17.9,101.3,25.4,-1.12,95.0,0.4920000000000001,655141,2.0
2017,22,0.0,0.0,0.5471698113207547,38.3,87.0,8.5,26.1,16.0,21.4,9.8,33.3,22.2,7.1,4.8,13.3,19.3,101.1,25.3,-6.57,96.8,0.489,727875,2.0
2017,29,1.0,0.0,1.6451612903225807,37.0,79.5,9.6,26.0,17.1,22.9,9.4,33.8,20.1,6.7,5.0,13.6,18.8,100.7,26.8,3.94,91.6,0.526,806142,1.0
2017,15,1.0,0.0,1.1025641025641026,36.4,83.6,9.4,26.5,18.3,23.4,10.8,32.0,21.3,8.0,4.2,12.9,22.4,100.5,29.5,0.49,92.3,0.491,677314,1.0
2017,7,1.0,0.0,0.6734693877551021,36.2,82.3,10.7,30.2,14.8,18.5,7.9,30.7,20.8,7.5,3.7,11.9,19.1,97.9,27.6,-2.93,92.2,0.505,811366,2.0
2016,10,1.0,1.0,8.11111111111111,42.5,87.3,13.1,31.6,16.7,21.8,10.0,36.2,28.9,8.4,6.1,15.2,20.7,114.9,27.4,10.76,99.3,0.563,803436,0.0
2016,21,1.0,1.0,2.0370370370370368,41.1,86.4,8.3,23.7,19.7,25.2,13.1,35.6,23.0,7.4,5.9,15.9,20.6,110.2,25.8,7.28,96.7,0.524,746323,0.0
2016,26,1.0,0.0,0.6734693877551021,40.0,86.4,8.0,22.4,18.5,25.5,10.6,33.7,24.5,8.9,4.5,16.2,20.4,106.6,26.6,-2.48,100.0,0.51,707526,2.0
2016,11,1.0,0.0,1.0,37.7,83.5,10.7,30.9,20.4,29.4,11.3,31.7,22.2,10.0,5.2,15.9,21.8,106.5,27.8,0.2,97.6,0.516,737244,1.0
2016,2,0.0,0.0,1.4117647058823528,39.2,89.2,8.7,26.1,18.5,23.5,11.6,33.3,24.2,9.2,4.2,13.7,21.9,105.7,25.2,3.21,98.5,0.488,749076,1.0
2016,25,1.0,0.0,1.1578947368421053,38.6,85.9,10.5,28.5,17.4,23.0,11.6,33.9,21.3,6.9,4.6,14.6,21.7,105.1,24.3,0.83,96.0,0.511,794085,1.0
2016,13,1.0,0.0,1.827586206896552,38.3,82.4,9.7,26.7,18.2,26.2,8.8,33.3,22.8,8.6,5.6,13.0,21.3,104.5,29.7,4.28,95.8,0.524,786910,0.0
2016,6,0.0,1.0,2.28,38.7,84.0,10.7,29.6,16.3,21.7,10.6,33.9,22.7,6.7,3.9,13.6,20.3,104.3,28.1,6.0,93.3,0.524,843042,0.0
2016,30,0.0,0.0,1.0,39.5,85.8,8.6,24.2,16.5,22.5,9.1,32.8,24.5,8.6,3.9,14.5,20.8,104.1,27.3,-0.5,98.5,0.511,725426,2.0
2016,27,1.0,0.0,4.466666666666667,40.1,82.9,7.0,18.5,16.4,20.4,9.4,34.5,24.5,8.3,5.9,13.1,17.5,103.5,30.3,10.63,93.8,0.526,756445,0.0
2016,4,0.0,0.0,1.4117647058823528,37.0,84.4,10.6,29.4,18.7,23.7,9.0,35.0,21.7,7.3,5.3,12.6,18.1,103.4,26.0,2.72,95.7,0.502,716894,1.0
2016,1,0.0,0.0,1.4117647058823528,38.6,84.4,9.9,28.4,15.6,20.0,8.3,33.8,25.6,9.1,5.9,15.0,19.1,102.8,28.2,3.61,97.1,0.516,690150,0.0
2016,19,1.0,0.0,0.5769230769230769,38.5,85.9,8.6,23.8,17.3,22.2,9.5,33.1,22.2,7.7,4.2,13.4,20.9,102.7,26.6,-3.79,96.8,0.498,688549,2.0
2016,28,0.0,1.0,2.1538461538461537,36.7,81.3,8.6,23.4,20.8,26.7,10.2,33.2,18.7,7.8,5.5,13.1,19.6,102.7,26.3,4.5,92.9,0.504,812863,0.0
2016,18,1.0,0.0,0.5471698113207547,37.7,81.3,5.5,16.4,21.4,27.0,10.0,31.5,23.4,8.0,4.6,15.0,20.7,102.4,24.6,-3.54,95.2,0.498,581178,2.0
