Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
1987,7,Dallas Mavericks,1,0,82,55,27,2.0370370369999997,242.4,43.8,89.9,0.48700000000000004,2.8,8.0,0.354,41.0,82.0,0.5,26.2,33.1,0.7909999999999999,14.9,30.4,45.3,24.6,8.4,5.2,14.7,22.8,116.7,26.4,56,26,6.3,-0.77,5.54,114.9,108.7,100.5,0.369,0.08900000000000001,0.5579999999999999,0.503,12.3,33.8,0.29100000000000004,0.503,12.3,66.5,0.29100000000000004,696333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,7,Dallas Mavericks,1,1,82,53,29,1.827586207,240.9,41.6,87.7,0.475,1.9,6.4,0.293,39.7,81.3,0.489,24.1,30.6,0.789,16.4,30.4,46.8,24.2,7.9,5.4,15.3,21.1,109.3,27.0,52,30,4.37,-0.77,3.59,112.2,107.7,97.0,0.349,0.073,0.54,0.485,13.2,37.5,0.275,0.485,13.2,67.5,0.275,695592,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1989,7,Dallas Mavericks,1,0,82,38,44,0.8636363640000001,241.2,39.6,84.4,0.469,2.6,8.3,0.31,37.0,76.0,0.486,21.8,27.6,0.789,12.8,29.2,42.0,22.8,7.1,5.8,15.0,21.2,103.5,28.5,38,44,-1.21,-0.59,-1.79,107.4,108.6,95.9,0.327,0.098,0.536,0.484,13.5,29.5,0.258,0.484,13.5,66.1,0.258,695056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1990,7,Dallas Mavericks,1,0,82,47,35,1.342857143,242.1,39.6,83.3,0.475,1.9,5.9,0.32299999999999995,37.7,77.4,0.48700000000000004,21.2,27.6,0.767,12.7,29.5,42.2,21.7,8.1,4.9,15.0,21.1,102.2,29.2,41,41,0.07,0.35,0.42,107.2,107.2,94.5,0.331,0.071,0.536,0.48700000000000004,13.6,30.3,0.254,0.48700000000000004,13.6,67.9,0.254,691490,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
1991,7,Dallas Mavericks,1,0,82,28,54,0.518518519,241.5,40.8,84.7,0.48200000000000004,2.2,7.1,0.305,38.6,77.6,0.498,20.7,28.0,0.74,13.6,30.4,44.0,24.7,7.9,4.9,14.0,21.7,104.5,30.6,29,53,-4.57,0.31,-4.27,105.5,110.3,94.2,0.28800000000000003,0.087,0.528,0.485,13.3,28.3,0.21899999999999997,0.485,13.3,67.9,0.21899999999999997,683927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
1992,7,Dallas Mavericks,1,0,82,22,60,0.36666666700000006,240.9,38.0,86.6,0.439,3.3,9.7,0.336,34.8,76.9,0.452,18.3,24.4,0.75,14.6,29.7,44.3,19.9,6.5,4.3,14.7,22.8,97.6,28.2,21,61,-7.65,0.18,-7.47,103.0,111.1,94.4,0.281,0.11199999999999999,0.501,0.45799999999999996,13.1,31.2,0.21100000000000002,0.45799999999999996,13.1,67.8,0.21100000000000002,634380,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1993,7,Dallas Mavericks,1,0,82,11,71,0.15492957699999998,240.6,38.6,88.7,0.435,3.5,10.2,0.33799999999999997,35.1,78.5,0.44799999999999995,18.7,26.5,0.705,15.0,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3,24.9,10,72,-15.2,0.52,-14.68,99.5,114.7,99.5,0.299,0.115,0.495,0.455,15.1,31.1,0.21,0.455,15.1,68.1,0.21,554724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1994,7,Dallas Mavericks,1,0,82,13,69,0.18840579699999999,240.6,37.3,86.2,0.43200000000000005,2.9,9.4,0.312,34.3,76.8,0.447,17.7,23.7,0.747,15.5,26.2,41.7,19.9,9.4,3.6,17.0,24.5,95.1,25.3,19,63,-8.7,0.5,-8.19,100.4,109.6,94.5,0.275,0.109,0.49200000000000005,0.449,15.0,33.7,0.205,0.449,15.0,66.1,0.205,526414,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1995,7,Dallas Mavericks,1,0,82,36,46,0.7826086959999999,243.0,39.4,89.5,0.44,4.7,14.6,0.322,34.6,74.9,0.46299999999999997,19.8,27.0,0.7340000000000001,18.5,29.7,48.1,23.7,7.1,4.2,16.4,22.1,103.2,24.3,33,49,-2.9,0.51,-2.39,107.6,110.6,94.7,0.301,0.163,0.509,0.466,13.9,38.9,0.221,0.466,13.9,69.8,0.221,678433,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1996,7,Dallas Mavericks,1,0,82,26,56,0.46428571399999996,243.0,38.1,90.6,0.42,9.0,24.9,0.36,29.1,65.8,0.44299999999999995,17.4,24.1,0.722,17.2,29.0,46.2,23.3,7.8,4.2,15.5,22.4,102.5,25.1,28,54,-4.9,0.19,-4.71,106.1,111.2,95.4,0.266,0.27399999999999997,0.507,0.47,13.3,34.1,0.192,0.47,13.3,68.6,0.192,684138,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
