Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
1998,14,Los Angeles Lakers,1.0,1.0,82,61.0,21.0,2.9047619047619047,241.8,38.4,79.7,0.48100000000000004,6.1,17.3,0.35100000000000003,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5,25.8,61,21,7.74,-0.87,6.88,111.9,103.7,93.6,0.42,0.21600000000000003,0.5589999999999999,0.519,14.0,31.6,0.285,0.519,14.0,68.8,0.285,Great Western Forum,676101,0.0
1998,18,Minnesota Timberwolves,1.0,0.0,82,45.0,37.0,1.2162162162162162,243.0,38.5,83.5,0.461,3.7,10.6,0.34700000000000003,34.8,72.8,0.478,20.4,27.5,0.743,13.0,29.6,42.6,25.2,7.8,5.2,13.9,23.0,101.1,26.4,43,39,0.71,-0.54,0.17,107.8,107.1,92.6,0.32899999999999996,0.128,0.529,0.483,12.7,30.6,0.244,0.483,12.7,68.5,0.244,Target Center,738590,1.0
1998,29,Utah Jazz,1.0,1.0,82,62.0,20.0,3.1,241.2,36.5,74.5,0.49,3.0,8.2,0.37200000000000005,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,29.7,59,23,6.54,-0.81,5.73,112.7,105.4,89.2,0.433,0.11,0.569,0.51,14.8,32.3,0.33399999999999996,0.51,14.8,71.0,0.33399999999999996,Delta Center,815889,0.0
1998,21,Seattle SuperSonics,1.0,0.0,82,61.0,21.0,2.9047619047619047,240.9,37.2,78.8,0.473,7.6,19.1,0.396,29.6,59.6,0.49700000000000005,18.5,25.7,0.721,11.4,27.1,38.5,24.2,9.8,4.6,14.0,22.1,100.6,31.1,61,21,7.17,-0.84,6.33,111.6,103.6,89.8,0.327,0.243,0.5579999999999999,0.521,13.4,28.7,0.23600000000000002,0.521,13.4,66.1,0.23600000000000002,KeyArena at Seattle Center,699952,0.0
1998,3,New Jersey Nets,0.0,0.0,82,43.0,39.0,1.1025641025641026,242.4,37.3,84.5,0.441,3.8,11.4,0.331,33.5,73.1,0.45799999999999996,21.3,28.7,0.7440000000000001,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6,27.8,46,36,1.57,0.31,1.88,108.3,106.6,91.0,0.33899999999999997,0.135,0.513,0.46299999999999997,12.9,36.7,0.253,0.46299999999999997,12.9,66.4,0.253,Continental Airlines Arena,718514,1.0
1998,24,Phoenix Suns,1.0,0.0,82,56.0,26.0,2.1538461538461537,243.4,38.3,81.8,0.46799999999999997,5.3,14.8,0.35600000000000004,33.0,67.1,0.49200000000000005,17.8,23.8,0.7490000000000001,12.1,29.9,42.0,25.9,9.2,5.2,15.1,21.5,99.6,28.2,56,26,5.18,-0.75,4.44,107.4,101.8,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.217,0.5,14.0,70.0,0.217,America West Arena,779943,0.0
1998,11,Houston Rockets,1.0,0.0,82,41.0,41.0,1.0,241.8,35.9,79.4,0.452,7.0,20.4,0.34299999999999997,28.9,59.1,0.49,19.9,25.9,0.7709999999999999,12.0,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8,32.0,39,43,-0.76,-0.47,-1.23,107.7,108.6,91.0,0.326,0.256,0.544,0.496,14.8,29.8,0.251,0.496,14.8,69.3,0.251,The Summit,670117,1.0
1998,30,Washington Wizards,0.0,0.0,82,42.0,40.0,1.05,241.5,37.6,83.1,0.452,3.9,11.5,0.33899999999999997,33.7,71.5,0.47,18.2,26.3,0.691,13.7,28.5,42.2,23.2,8.4,4.6,14.1,22.4,97.2,26.7,43,39,0.59,0.53,1.11,105.2,104.5,91.8,0.317,0.139,0.513,0.47600000000000003,13.0,31.2,0.21899999999999997,0.47600000000000003,13.0,69.5,0.21899999999999997,MCI Center,801240,2.0
1998,5,Chicago Bulls,0.0,1.0,82,62.0,20.0,3.1,242.1,37.4,82.9,0.451,3.8,11.7,0.32299999999999995,33.6,71.2,0.47100000000000003,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7,31.7,61,21,7.11,0.13,7.24,107.7,99.8,89.0,0.295,0.141,0.516,0.473,13.3,35.7,0.21899999999999997,0.473,13.3,70.6,0.21899999999999997,United Center,983444,0.0
1998,15,Vancouver Grizzlies,1.0,0.0,82,19.0,63.0,0.30158730158730157,241.8,36.7,80.1,0.45799999999999996,4.0,11.0,0.36200000000000004,32.7,69.1,0.473,19.3,26.2,0.7390000000000001,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6,26.5,22,60,-7.3,-0.17,-7.47,104.1,112.0,92.1,0.327,0.13699999999999998,0.527,0.48200000000000004,15.8,31.5,0.242,0.48200000000000004,15.8,66.9,0.242,General Motors Place,660457,2.0
