Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
2006,24,Phoenix Suns,1.0,1.0,82,54.0,28.0,1.9285714285714286,243.4,41.8,87.4,0.479,10.2,25.6,0.39899999999999997,31.6,61.8,0.511,14.5,18.0,0.8059999999999999,9.5,32.3,41.8,26.6,6.7,5.0,13.3,20.5,108.4,27.5,55,27,5.55,-0.07,5.48,111.5,105.8,95.8,0.20600000000000002,0.293,0.568,0.537,12.2,22.1,0.166,0.537,12.2,72.1,0.166,America West Arena,730179,0.0
2006,21,Seattle SuperSonics,1.0,0.0,82,35.0,47.0,0.7446808510638298,241.8,37.5,81.8,0.45899999999999996,7.4,19.9,0.371,30.1,62.0,0.48700000000000004,20.1,25.7,0.785,12.4,27.2,39.6,20.7,7.6,3.7,14.7,23.6,102.6,25.6,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,0.314,0.243,0.551,0.504,13.7,30.4,0.24600000000000002,0.504,13.7,69.0,0.24600000000000002,KeyArena at Seattle Center,664157,2.0
2006,30,Washington Wizards,0.0,0.0,82,42.0,40.0,1.05,241.8,36.3,81.2,0.447,6.1,17.0,0.35700000000000004,30.2,64.2,0.47100000000000003,23.0,30.4,0.757,12.6,28.6,41.2,18.6,8.0,4.1,13.9,22.6,101.7,26.5,46,36,1.85,-0.29,1.57,109.3,107.3,92.3,0.375,0.209,0.5379999999999999,0.484,12.8,29.5,0.284,0.484,12.8,70.9,0.284,MCI Center,705062,1.0
2006,28,Toronto Raptors,0.0,0.0,82,27.0,55.0,0.4909090909090909,243.4,36.7,81.0,0.45399999999999996,7.4,19.8,0.375,29.3,61.2,0.479,20.2,25.5,0.7909999999999999,10.5,27.9,38.5,19.4,6.5,3.3,13.1,24.0,101.1,25.9,33,49,-2.99,-0.04,-3.03,109.5,112.7,91.1,0.315,0.244,0.5479999999999999,0.5,12.4,25.4,0.249,0.5,12.4,73.3,0.249,Air Canada Centre,699332,2.0
2006,8,Denver Nuggets,1.0,0.0,82,44.0,38.0,1.1578947368421053,243.0,37.5,81.4,0.461,4.3,13.1,0.325,33.3,68.2,0.48700000000000004,21.0,28.2,0.7440000000000001,11.0,30.3,41.3,23.4,8.5,5.6,14.8,22.7,100.3,27.4,42,40,0.23,0.13,0.36,105.5,105.2,93.9,0.34700000000000003,0.161,0.535,0.488,13.7,26.8,0.258,0.488,13.7,72.0,0.258,Pepsi Center,702555,0.0
2006,16,Miami Heat,0.0,1.0,82,52.0,30.0,1.7333333333333334,240.9,37.1,77.5,0.478,6.1,17.6,0.345,31.0,59.9,0.517,19.7,28.2,0.7,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,99.9,29.2,52,30,3.87,-0.27,3.59,108.7,104.5,91.6,0.363,0.22699999999999998,0.556,0.517,13.9,26.7,0.254,0.517,13.9,76.4,0.254,AmericanAirlines Arena,818149,0.0
2006,14,Los Angeles Lakers,1.0,0.0,82,45.0,37.0,1.2162162162162162,242.1,36.5,80.6,0.45299999999999996,6.7,19.3,0.349,29.8,61.3,0.486,19.7,26.5,0.745,11.8,30.3,42.2,21.1,7.7,4.3,13.9,23.1,99.4,25.1,48,34,2.5,0.03,2.53,108.4,105.7,90.9,0.32899999999999996,0.24,0.539,0.495,13.1,28.8,0.245,0.495,13.1,73.6,0.245,STAPLES Center,774189,1.0
2006,23,Philadelphia 76ers,0.0,0.0,82,38.0,44.0,0.8636363636363636,242.7,36.6,79.8,0.45799999999999996,4.6,12.6,0.364,32.0,67.3,0.47600000000000003,21.6,28.4,0.76,10.6,29.6,40.2,20.2,7.9,4.9,14.1,20.9,99.4,26.5,35,47,-1.95,-0.15,-2.1,106.0,108.1,92.7,0.35600000000000004,0.158,0.5379999999999999,0.48700000000000004,13.3,25.6,0.27,0.48700000000000004,13.3,71.3,0.27,Wachovia Center,677278,2.0
2006,7,Dallas Mavericks,1.0,1.0,82,60.0,22.0,2.727272727272727,242.4,36.0,77.7,0.462,5.1,13.6,0.374,30.9,64.2,0.48100000000000004,22.2,28.3,0.7829999999999999,12.6,29.6,42.2,18.0,7.2,6.0,13.6,22.4,99.1,27.5,58,24,6.07,-0.11,5.96,111.8,105.0,87.8,0.364,0.175,0.55,0.495,13.1,31.8,0.285,0.495,13.1,72.2,0.285,American Airlines Center,824693,0.0
2006,26,Sacramento Kings,1.0,0.0,82,44.0,38.0,1.1578947368421053,241.8,36.0,79.3,0.45399999999999996,6.0,17.2,0.35100000000000003,30.0,62.1,0.483,20.8,26.5,0.784,10.4,30.2,40.5,22.3,7.4,3.6,14.6,20.4,98.9,27.2,45,37,1.54,0.07,1.61,106.7,105.0,91.9,0.33399999999999996,0.217,0.544,0.49200000000000005,13.9,25.4,0.262,0.49200000000000005,13.9,72.2,0.262,ARCO Arena (II),709997,1.0
