Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference Finalist,Standings_Bucket ,E/W
1,Denver Nuggets,82,241.2,46,97.1,0.474,2.3,6.9,0.342,43.6,90.2,0.484,22.5,27.9,0.804,14.2,29.8,44,28,10.1,4.9,14.5,24.2,116.7,0,0,1
2,Portland Trail Blazers,82,240.6,44.6,91,0.491,1.4,4.6,0.308,43.2,86.3,0.501,25.4,32.9,0.77,15.3,30.4,45.6,28.1,8.9,4.2,16.5,25.5,116.1,0,0,1
3,Boston Celtics,82,241.2,43.9,84.2,0.521,3.3,8.6,0.384,40.6,75.6,0.537,22.5,28,0.803,11.3,29.8,41.1,29.9,7.6,5.1,15.9,22,113.6,1,0,0
4,San Antonio Spurs,82,241.5,45.2,92.2,0.49,1.6,5,0.323,43.6,87.2,0.5,21.6,29.4,0.733,14.4,28.5,42.9,28.6,9,5.7,17.3,24.3,113.6,0,1,1
5,Los Angeles Lakers,82,241.5,43.6,86.3,0.505,1.7,5.8,0.297,41.9,80.5,0.52,23.9,30.2,0.789,13.1,30.4,43.5,28.6,8.2,4.9,16.1,20.9,112.8,1,0,1
6,Seattle SuperSonics,82,242.1,43.2,90.8,0.476,2.7,7.8,0.346,40.5,83,0.488,22.3,29.8,0.748,16,28.2,44.2,26.2,9.5,5.5,16.8,29,111.4,0,1,1
7,Dallas Mavericks,82,240.9,41.6,87.7,0.475,1.9,6.4,0.293,39.7,81.3,0.489,24.1,30.6,0.789,16.4,30.4,46.8,24.2,7.9,5.4,15.3,21.1,109.3,1,0,1
8,Detroit Pistons,82,241.2,42.2,85.6,0.493,0.7,2.5,0.287,41.5,83.1,0.499,24.1,31.9,0.757,14.4,30.3,44.7,24.5,7.2,4.8,16.4,23.9,109.2,1,0,0
9,Houston Rockets,82,240,42.3,89.7,0.471,0.8,3.5,0.237,41.4,86.1,0.481,23.6,30.3,0.78,15.1,30.9,46,23.6,8.7,6.1,16.7,22.7,109,0,1,1
10,Phoenix Suns,82,240.6,43.3,89,0.486,1.4,4.4,0.331,41.9,84.7,0.494,20.5,26.8,0.764,13.6,29,42.6,28.4,8.2,4.3,17.2,24.9,108.5,0,2,1
11,Utah Jazz,82,240.3,42.5,86.5,0.491,1.6,4.9,0.319,40.9,81.6,0.502,22,29.3,0.75,13,31.1,44.1,29.4,9.4,7.6,18.1,24.2,108.5,0,1,1
12,Sacramento Kings,82,241.2,42.2,89.5,0.471,1.8,5.5,0.32,40.4,84,0.481,21.9,28.3,0.772,15,30,45,25.8,7.1,6,17.8,23.1,108,0,2,1
13,Atlanta Hawks,82,241.2,42,86.6,0.485,1,3.4,0.301,41,83.2,0.492,22.8,29.8,0.767,15,29,44,25.1,7.7,6.5,14.9,25,107.9,0,0,0
14,Golden State Warriors,82,241.2,42.2,90.3,0.468,1.1,3.8,0.292,41.1,86.5,0.475,21.4,26.9,0.796,13.9,27.5,41.4,24.5,9,3.5,17,26.3,107,0,2,1
15,Milwaukee Bucks,82,241.2,41,86.3,0.475,1.6,5,0.324,39.4,81.3,0.485,22.3,28.8,0.775,13.6,28.5,42.1,26.8,8.2,4.6,15.5,24.3,106.1,0,1,0
16,Philadelphia 76ers,82,242.7,39.2,82.7,0.474,1.9,5.7,0.323,37.3,77,0.485,25.5,33.3,0.764,14.9,28.1,43,23.1,8.2,5.7,17.5,22.8,105.7,0,2,0
17,New York Knicks,82,241.5,41,88.2,0.465,2.2,6.9,0.316,38.8,81.3,0.478,21.3,28.1,0.759,15.7,26.8,42.4,24.5,9.6,5.4,18.5,28.8,105.5,0,1,0
18,Washington Bullets,82,242.4,40.9,87.4,0.468,0.4,1.7,0.21,40.6,85.7,0.473,23.3,30.2,0.773,15,28,43,22.9,8.5,6.1,16.9,23.4,105.5,0,1,0
19,Chicago Bulls,82,242.1,41.9,85.5,0.49,0.7,3,0.23,41.2,82.6,0.499,20.5,27.1,0.759,14.3,30,44.3,26.2,8.7,5.8,15.4,22.5,105,0,0,0
20,Indiana Pacers,82,240.3,41.9,87.2,0.48,2,5.9,0.336,39.9,81.3,0.491,18.9,24.2,0.78,13.1,30,43.1,24.1,7.5,4.2,16.1,24.9,104.6,0,2,0
21,Cleveland Cavaliers,82,241.2,40.4,82.4,0.49,1.5,4.1,0.378,38.9,78.3,0.496,22.1,29.7,0.744,12.4,27.9,40.3,25.2,8.9,6.4,17.5,22.4,104.5,0,1,0
22,New Jersey Nets,82,241.2,39.1,83.6,0.468,1.7,5.5,0.301,37.5,78.1,0.48,20.5,28.1,0.729,13.1,27.6,40.7,21.9,8.9,4.7,18.3,24.9,100.4,0,2,0
23,Los Angeles Clippers,82,241.5,38.9,87.7,0.443,1,3.9,0.249,37.9,83.9,0.452,20,28.1,0.713,14.5,28.7,43.2,23,8.8,6.3,18.7,23.3,98.8,0,2,1
,League Average,82,241.3,42.1,87.7,0.48,1.6,5,0.316,40.6,82.7,0.49,22.3,29.1,0.766,14.2,29.2,43.4,25.8,8.5,5.4,16.7,24.1,108.2,,,
