Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Seattle SuperSonics,28.1,63,19,64,18,9.09,-0.41,8.68,111.1,101.5,95.1,0.344,0.105,0.547,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.272,Seattle Center Coliseum,601369
2,New York Knicks,28.9,57,25,60,22,6.99,-0.5,6.48,105.7,98.2,92.8,0.311,0.135,0.527,0.483,15.1,34.4,0.232,0.451,16,71.4,0.261,Madison Square Garden (IV),810193
3,San Antonio Spurs,29,55,27,56,26,5.26,-0.21,5.05,110.4,104.6,90.1,0.322,0.107,0.537,0.494,13.6,35.6,0.239,0.467,11.7,70.5,0.196,Alamodome,904190
4,Atlanta Hawks,28.7,57,25,56,26,5.27,-0.33,4.94,107.2,101.7,94.2,0.294,0.118,0.523,0.48,13.6,34.6,0.221,0.475,16,67.7,0.185,Omni Coliseum,537547
5,Phoenix Suns,28.7,56,26,54,28,4.84,-0.17,4.68,111.7,106.8,96.7,0.325,0.147,0.548,0.509,13.9,35.2,0.236,0.493,13.5,69.3,0.202,America West Arena,779952
6,Houston Rockets,28.1,58,24,53,29,4.32,-0.12,4.19,105.9,101.4,95,0.294,0.191,0.545,0.507,15,27.6,0.218,0.458,13.3,69.7,0.192,The Summit,615227
7,Utah Jazz,29.4,53,29,53,29,4.22,-0.12,4.1,108.6,104.1,93.1,0.354,0.083,0.537,0.49,13.3,31.3,0.262,0.469,14.6,68.4,0.267,Delta Center,814502
8,Orlando Magic,25.8,50,32,52,30,3.89,-0.21,3.68,110.8,106.7,95.2,0.341,0.165,0.547,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.214,Orlando Arena,626931
9,Cleveland Cavaliers,27.9,47,35,52,30,4.02,-0.39,3.64,109.4,105.1,91.7,0.335,0.121,0.537,0.487,12.8,31.8,0.258,0.484,14.5,69,0.215,Coliseum at Richfield,753686
10,Indiana Pacers,27.2,47,35,51,31,3.45,-0.19,3.26,107.8,104.2,93.3,0.366,0.077,0.547,0.5,16,34.4,0.27,0.471,14.9,68,0.267,Market Square Arena,531812
11,Chicago Bulls,27.7,55,27,50,32,3.09,-0.22,2.87,106.1,102.7,91.9,0.273,0.097,0.526,0.493,14.6,33.8,0.192,0.482,15.3,70.8,0.225,Chicago Stadium,760816
12,Portland Trail Blazers,28.6,47,35,48,34,2.63,-0.04,2.6,108.1,105.5,98.8,0.323,0.104,0.518,0.472,12.5,34.4,0.24,0.49,14.8,70.8,0.235,Memorial Coliseum,528408
13,Miami Heat,26,42,40,48,34,2.67,-0.27,2.4,109.5,106.7,93.8,0.322,0.145,0.538,0.488,14.3,35.3,0.253,0.479,14.5,69.1,0.284,Miami Arena,617242
